filename,avg_r,avg_g,avg_b
Emoji (1).png,71.93630981445312,53.17115783691406,58.67790222167969
bgr_Emoji (1).png,127.5484619140625,58.67790222167969,53.17115783691406
enh_Emoji (1).png,94.92910766601562,64.304443359375,73.16645812988281
gray_Emoji (1).png,59.4344482421875,59.4344482421875,59.4344482421875
Emoji (10).png,80.61396789550781,78.83207702636719,89.79029846191406
bgr_Emoji (10).png,115.97065734863281,89.79029846191406,78.83207702636719
enh_Emoji (10).png,94.96235656738281,93.42295837402344,107.23072814941406
gray_Emoji (10).png,80.61671447753906,80.61671447753906,80.61671447753906
Emoji (11).png,92.51211547851562,81.97579956054688,84.10624694824219
bgr_Emoji (11).png,130.97601318359375,84.10624694824219,81.97579956054688
enh_Emoji (11).png,106.44978332519531,90.43194580078125,88.41557312011719
gray_Emoji (11).png,85.387939453125,85.387939453125,85.387939453125
Emoji (12).png,73.07778930664062,69.71499633789062,78.51678466796875
bgr_Emoji (12).png,129.11700439453125,78.51678466796875,69.71499633789062
enh_Emoji (12).png,81.63023376464844,78.16256713867188,85.20738220214844
gray_Emoji (12).png,71.72161865234375,71.72161865234375,71.72161865234375
Emoji (13).png,121.12490844726562,115.80975341796875,76.07722473144531
bgr_Emoji (13).png,136.8576202392578,76.07722473144531,115.80975341796875
enh_Emoji (13).png,117.5223388671875,125.89378356933594,66.26907348632812
gray_Emoji (13).png,112.83650207519531,112.83650207519531,112.83650207519531
Emoji (14).png,58.783233642578125,61.83570861816406,56.33903503417969
bgr_Emoji (14).png,143.05873107910156,56.33903503417969,61.83570861816406
enh_Emoji (14).png,64.3328857421875,70.46366882324219,63.36616516113281
gray_Emoji (14).png,60.31636047363281,60.31636047363281,60.31636047363281
Emoji (15).png,71.42173767089844,76.19685363769531,66.11563110351562
bgr_Emoji (15).png,139.6147003173828,66.11563110351562,76.19685363769531
enh_Emoji (15).png,72.61460876464844,84.00363159179688,75.18231201171875
gray_Emoji (15).png,73.63410949707031,73.63410949707031,73.63410949707031
Emoji (16).png,53.92494201660156,56.712982177734375,53.62298583984375
bgr_Emoji (16).png,138.36158752441406,53.62298583984375,56.712982177734375
enh_Emoji (16).png,59.1268310546875,65.40737915039062,62.87548828125
gray_Emoji (16).png,55.55189514160156,55.55189514160156,55.55189514160156
Emoji (17).png,56.33329772949219,59.07518005371094,52.00144958496094
bgr_Emoji (17).png,133.02511596679688,52.00144958496094,59.07518005371094
enh_Emoji (17).png,59.34342956542969,68.57884216308594,59.40721130371094
gray_Emoji (17).png,57.481689453125,57.481689453125,57.481689453125
Emoji (18).png,101.09382629394531,73.06825256347656,46.95976257324219
bgr_Emoji (18).png,121.03778076171875,46.95976257324219,73.06825256347656
enh_Emoji (18).png,100.30953979492188,65.49798583984375,46.781036376953125
gray_Emoji (18).png,78.44200134277344,78.44200134277344,78.44200134277344
Emoji (19).png,86.72322082519531,57.43083190917969,35.98252868652344
bgr_Emoji (19).png,120.22306823730469,35.98252868652344,57.43083190917969
enh_Emoji (19).png,93.65509033203125,45.052093505859375,37.200286865234375
gray_Emoji (19).png,63.565216064453125,63.565216064453125,63.565216064453125
Emoji (2).png,82.36517333984375,85.50819396972656,77.30906677246094
bgr_Emoji (2).png,129.98532104492188,77.30906677246094,85.50819396972656
enh_Emoji (2).png,88.57725524902344,91.26582336425781,88.20466613769531
gray_Emoji (2).png,83.6607666015625,83.6607666015625,83.6607666015625
Emoji (20).png,85.9404296875,56.66801452636719,35.674652099609375
bgr_Emoji (20).png,120.37298583984375,35.674652099609375,56.66801452636719
enh_Emoji (20).png,94.1446533203125,45.76226806640625,36.70269775390625
gray_Emoji (20).png,63.02357482910156,63.02357482910156,63.02357482910156
Emoji (21).png,83.00096130371094,54.076995849609375,33.352935791015625
bgr_Emoji (21).png,119.19131469726562,33.352935791015625,54.076995849609375
enh_Emoji (21).png,90.92558288574219,43.45806884765625,35.28558349609375
gray_Emoji (21).png,60.329498291015625,60.329498291015625,60.329498291015625
Emoji (22).png,120.46517944335938,83.79612731933594,58.691009521484375
bgr_Emoji (22).png,120.52156066894531,58.691009521484375,83.79612731933594
enh_Emoji (22).png,123.84138488769531,79.60041809082031,60.80189514160156
gray_Emoji (22).png,91.84933471679688,91.84933471679688,91.84933471679688
Emoji (23).png,128.14610290527344,93.11888122558594,62.55088806152344
bgr_Emoji (23).png,123.31791687011719,62.55088806152344,93.11888122558594
enh_Emoji (23).png,122.66615295410156,84.57449340820312,65.30429077148438
gray_Emoji (23).png,100.10580444335938,100.10580444335938,100.10580444335938
Emoji (24).png,150.63902282714844,125.32307434082031,112.55508422851562
bgr_Emoji (24).png,147.78506469726562,112.55508422851562,125.32307434082031
enh_Emoji (24).png,129.65658569335938,120.14031982421875,115.88154602050781
gray_Emoji (24).png,131.44168090820312,131.44168090820312,131.44168090820312
Emoji (25).png,131.4502716064453,100.71084594726562,85.53616333007812
bgr_Emoji (25).png,152.0850067138672,85.53616333007812,100.71084594726562
enh_Emoji (25).png,115.24668884277344,95.72073364257812,93.03329467773438
gray_Emoji (25).png,108.17683410644531,108.17683410644531,108.17683410644531
Emoji (26).png,135.01405334472656,112.893310546875,96.80863952636719
bgr_Emoji (26).png,149.92230224609375,96.80863952636719,112.893310546875
enh_Emoji (26).png,118.10308837890625,112.67800903320312,107.91709899902344
gray_Emoji (26).png,117.71211242675781,117.71211242675781,117.71211242675781
Emoji (27).png,116.56214904785156,85.16865539550781,70.14118957519531
bgr_Emoji (27).png,132.11842346191406,70.14118957519531,85.16865539550781
enh_Emoji (27).png,105.56480407714844,80.02424621582031,77.74552917480469
gray_Emoji (27).png,92.84457397460938,92.84457397460938,92.84457397460938
Emoji (28).png,145.53750610351562,97.98861694335938,73.55116271972656
bgr_Emoji (28).png,161.4759979248047,73.55116271972656,97.98861694335938
enh_Emoji (28).png,151.92138671875,89.99626159667969,62.321868896484375
gray_Emoji (28).png,109.43191528320312,109.43191528320312,109.43191528320312
Emoji (29).png,107.36636352539062,81.84181213378906,56.11248779296875
bgr_Emoji (29).png,135.59573364257812,56.11248779296875,81.84181213378906
enh_Emoji (29).png,103.24443054199219,70.79983520507812,56.406707763671875
gray_Emoji (29).png,86.50639343261719,86.50639343261719,86.50639343261719
Emoji (3).png,89.08729553222656,92.62828063964844,85.21604919433594
bgr_Emoji (3).png,120.94512939453125,85.21604919433594,92.62828063964844
enh_Emoji (3).png,99.51725769042969,102.06910705566406,99.2105712890625
gray_Emoji (3).png,90.72850036621094,90.72850036621094,90.72850036621094
Emoji (30).png,117.30882263183594,93.3631591796875,88.62106323242188
bgr_Emoji (30).png,144.23782348632812,88.62106323242188,93.3631591796875
enh_Emoji (30).png,119.40382385253906,87.77299499511719,104.46870422363281
gray_Emoji (30).png,99.98170471191406,99.98170471191406,99.98170471191406
Emoji (31).png,119.84661865234375,96.59214782714844,95.35148620605469
bgr_Emoji (31).png,152.51596069335938,95.35148620605469,96.59214782714844
enh_Emoji (31).png,122.7681884765625,91.63800048828125,110.5888671875
gray_Emoji (31).png,103.36904907226562,103.36904907226562,103.36904907226562
Emoji (32).png,100.78022766113281,76.51390075683594,78.86085510253906
bgr_Emoji (32).png,148.8468780517578,78.86085510253906,76.51390075683594
enh_Emoji (32).png,100.01567077636719,67.04618835449219,87.98257446289062
gray_Emoji (32).png,84.05807495117188,84.05807495117188,84.05807495117188
Emoji (33).png,93.53338623046875,66.2647705078125,61.87199401855469
bgr_Emoji (33).png,136.06027221679688,61.87199401855469,66.2647705078125
enh_Emoji (33).png,100.52803039550781,56.54866027832031,69.298095703125
gray_Emoji (33).png,73.96066284179688,73.96066284179688,73.96066284179688
Emoji (34).png,98.74296569824219,95.18894958496094,89.28616333007812
bgr_Emoji (34).png,139.97996520996094,89.28616333007812,95.18894958496094
enh_Emoji (34).png,104.75250244140625,103.75631713867188,102.40647888183594
gray_Emoji (34).png,95.5902099609375,95.5902099609375,95.5902099609375
Emoji (35).png,98.06341552734375,94.46809387207031,89.25053405761719
bgr_Emoji (35).png,134.8426971435547,89.25053405761719,94.46809387207031
enh_Emoji (35).png,103.9991455078125,103.12998962402344,102.82484436035156
gray_Emoji (35).png,94.95979309082031,94.95979309082031,94.95979309082031
Emoji (36).png,106.74668884277344,98.39480590820312,91.8880615234375
bgr_Emoji (36).png,135.9888458251953,91.8880615234375,98.39480590820312
enh_Emoji (36).png,116.28688049316406,106.82920837402344,103.65679931640625
gray_Emoji (36).png,100.13917541503906,100.13917541503906,100.13917541503906
Emoji (37).png,147.26100158691406,144.62252807617188,142.83767700195312
bgr_Emoji (37).png,135.8221435546875,142.83767700195312,144.62252807617188
enh_Emoji (37).png,154.95071411132812,154.64366149902344,157.6919403076172
gray_Emoji (37).png,145.2315673828125,145.2315673828125,145.2315673828125
Emoji (38).png,108.57272338867188,110.16505432128906,113.97378540039062
bgr_Emoji (38).png,150.37327575683594,113.97378540039062,110.16505432128906
enh_Emoji (38).png,116.37240600585938,116.00100708007812,117.75689697265625
gray_Emoji (38).png,110.17056274414062,110.17056274414062,110.17056274414062
Emoji (39).png,108.4385986328125,106.04562377929688,103.81556701660156
bgr_Emoji (39).png,151.5998077392578,103.81556701660156,106.04562377929688
enh_Emoji (39).png,118.32032775878906,117.45533752441406,107.00238037109375
gray_Emoji (39).png,106.510986328125,106.510986328125,106.510986328125
Emoji (4).png,105.79042053222656,94.14071655273438,75.20562744140625
bgr_Emoji (4).png,143.15567016601562,75.20562744140625,94.14071655273438
enh_Emoji (4).png,115.80482482910156,99.38519287109375,83.0943603515625
gray_Emoji (4).png,95.46424865722656,95.46424865722656,95.46424865722656
Emoji (40).png,79.80264282226562,80.62442016601562,89.03221130371094
bgr_Emoji (40).png,144.2685546875,89.03221130371094,80.62442016601562
enh_Emoji (40).png,93.85702514648438,90.19758605957031,96.31912231445312
gray_Emoji (40).png,81.32916259765625,81.32916259765625,81.32916259765625
Emoji (41).png,85.34970092773438,86.76631164550781,93.12968444824219
bgr_Emoji (41).png,139.28448486328125,93.12968444824219,86.76631164550781
enh_Emoji (41).png,98.29139709472656,96.15963745117188,100.07511901855469
gray_Emoji (41).png,87.06455993652344,87.06455993652344,87.06455993652344
Emoji (42).png,116.29167175292969,113.2578125,110.83946228027344
